,match_id,competition,season,home_team,away_team,home_score,away_score,home_win,away_win,tie,match_id_2,home_team_2,away_team_2,t1_t1_entropy,t2_t2_entropy,t1_t2_entropy,t2_t1_entropy,total_entropy,team1_entropy_segment,team2_entropy_segment,SEI,Home_Win_Pred,away_Win_Pred
55,266045, La Liga, 2014/2015, Barcelona, Real Sociedad,2,0,1,0,0,266045,Barcelona,Real Sociedad,5.132972361,2.665647571,1.429028875,1.427006997,10.6546558,0.481568863,0.250375939,0.231192924,1,0
56,266056, La Liga, 2015/2016, Eibar, Barcelona,0,4,0,1,0,266056,Eibar,Barcelona,2.891043529,5.555044475,1.234246698,0.981118894,10.6614536,0.247425522,0.5447824,-0.297356878,0,1
57,266074, La Liga, 2013/2014, Barcelona, Osasuna,7,0,1,0,0,266074,Barcelona,Osasuna,5.862411925,2.533951028,1.526760354,1.071236476,10.99435978,0.49178744,0.271909867,0.219877573,1,0
58,266117, La Liga, 2014/2015, Barcelona, Granada,6,0,1,0,0,266117,Barcelona,Granada,5.308322472,2.651268843,1.280895182,1.431463593,10.67195009,0.511517655,0.2343246,0.277193055,1,0
59,266142, La Liga, 2014/2015, Sevilla, Barcelona,2,2,0,0,1,266142,Sevilla,Barcelona,2.791672867,5.492810068,1.292398906,0.938852355,10.5157342,0.231855073,0.555962761,-0.324107688,0,1
60,266148, La Liga, 2014/2015, Barcelona, Málaga,0,1,0,1,0,266148,Barcelona,Málaga,4.852724206,2.426244777,1.967643958,1.883756288,11.13036923,0.428452681,0.22552104,0.202931641,1,0
61,266149, La Liga, 2015/2016, Barcelona, Athletic Club,6,0,1,0,0,266149,Barcelona,Athletic Club,6.319446535,2.191564987,1.114435903,1.102020665,10.72746809,0.587932888,0.205452042,0.382480846,1,0
62,266166, La Liga, 2015/2016, Atlético Madrid, Barcelona,1,2,0,1,0,266166,Atlético Madrid,Barcelona,2.698886791,5.504161156,1.053689377,1.08189373,10.33863105,0.263776812,0.529659756,-0.265882944,0,1
63,266191, La Liga, 2016/2017, Real Sociedad, Barcelona,1,1,0,0,1,266191,Real Sociedad,Barcelona,4.150326242,3.310820833,1.230304565,1.629456652,10.32090829,0.440802127,0.282113615,0.158688512,1,0
64,266201, La Liga, 2013/2014, Elche, Barcelona,0,0,0,0,1,266201,Elche,Barcelona,2.442671925,5.154353495,0.965033616,1.298369956,9.860428991,0.281530171,0.488925701,-0.207395529,0,1
65,266230, La Liga, 2014/2015, RC Deportivo La Coruña, Barcelona,0,4,0,1,0,266230,RC Deportivo La Coruña,Barcelona,2.727403141,5.32539856,1.162879668,1.310923333,10.5266047,0.273159949,0.491835216,-0.218675267,0,1
